d,rid
15,11
16,11
17,11
18,11
19,11
20,11
21,11
22,11
23,11
24,11
25,12
26,12
27,12
28,12
29,12
30,12
31,12
32,12
33,12
34,12
35,13
36,13
37,13
38,13
39,13
40,13
41,13
42,13
43,13
44,13
45,13
46,13
47,13
48,13
49,13
50,13
51,14
52,14
53,14
54,14
55,14
56,14
57,14
58,14
59,14
60,14
61,14
62,14
63,14
64,14
65,15
66,15
67,15
68,15
69,15
70,15
71,16
72,16
73,16
74,16
75,16
76,16
77,16
78,16
79,16
80,16
81,16
82,16
83,16
84,16
85,16
86,16
87,16
88,17
89,17
90,17
91,17
92,17
93,17
94,17
95,17
96,17
97,17
98,17
99,17
100,17
101,18
102,18
103,18
104,18
105,18
106,18
107,18
108,18
109,18
110,18
111,18
112,18
113,18
114,18
115,19
116,19
117,19
118,19
119,19
120,19
121,19
122,19
123,20
124,20
125,20
126,20
127,20
128,20
129,20
130,20
131,20
132,20
133,20
134,21
135,21
136,21
137,21
138,21
139,21
140,22
141,22
142,22
143,22
144,22
145,22
146,22
147,22
148,22
149,22
150,22
151,23
152,23
153,23
154,23
155,23
156,23
157,23
158,24
159,24
160,24
161,24
162,24
163,24
164,24
165,24
166,24
167,24
168,24
169,24
170,24
171,24
172,24
173,25
174,25
175,25
176,25
177,25
178,25
179,25
180,26
181,26
182,26
183,26
184,26
185,26
186,26
187,26
188,26
189,27
190,27
191,27
192,27
193,27
194,27
195,27
196,28
197,28
198,28
199,28
200,28
201,28
202,28
203,29
204,29
205,29
206,29
207,29
208,29
209,29
210,29
211,29
212,29
213,29
214,30
215,30
216,30
217,30
218,30
219,30
220,30
221,30
222,30
223,30
224,30
225,30
226,31
227,31
228,31
229,31
230,31
231,31
232,31
233,31
234,31
235,31
236,31
237,32
238,32
239,32
240,32
241,32
242,32
243,32
244,32
245,32
246,32
247,33
248,33
249,33
250,33
251,33
252,33
253,33
254,33
255,33
256,33
257,33
258,33
259,33
260,33
261,33
262,33
263,33
264,33
265,33
266,34
267,34
268,34
269,34
270,34
271,34
272,34
273,34
274,34
275,34
276,34
277,34
278,34
279,34
280,35
281,35
282,35
283,35
284,35
285,35
286,35
287,36
288,36
289,36
290,36
291,37
292,37
293,37
294,37
295,37
296,37
297,37
298,37
299,37
300,38
301,38
302,38
303,38
304,38
305,39
306,39
307,39
308,39
309,39
310,40
311,40
312,40
313,40
314,40
315,40
316,40
317,40
318,40
319,40
320,40
321,40
322,40
323,40
324,41
325,41
326,41
327,41
328,41
329,41
330,42
331,42
332,42
333,42
334,42
335,42
336,42
337,43
338,43
339,43
340,43
341,43
342,43
343,43
344,43
345,43
346,43
347,43
348,44
349,44
350,44
351,44
352,44
353,44
354,44
355,44
356,44
357,44
358,44
359,44
360,44
361,45
362,45
363,45
364,45
365,45
366,45
367,45
368,45
369,46
370,46
371,46
372,46
373,46
374,46
375,46
376,46
377,46
378,47
379,47
380,47
381,47
382,47
383,47
384,47
385,47
386,47
387,47
388,47
389,47
390,47
391,47
392,47
393,48
394,48
395,48
396,48
397,48
398,48
399,49
400,49
401,49
402,49
403,49
404,49
405,49
406,49
407,49
408,49
409,49
410,50
411,50
412,50
413,50
414,50
415,50
416,50
417,50
418,50
419,50
420,50
421,51
422,51
423,51
424,51
425,51
426,51
427,51
428,51
429,51
430,51
431,51
432,51
433,51
434,52
435,52
436,52
437,52
438,52
439,52
440,52
441,52
442,52
443,52
444,52
445,53
446,53
447,53
448,53
449,53
450,53
451,53
452,53
453,54
454,54
455,54
456,54
457,54
458,54
459,54
460,54
461,54
462,54
463,54
464,54
465,54
466,54
467,54
468,55
469,55
470,55
471,55
472,55
473,55
474,55
475,55
476,55
477,55
478,55
479,55
480,55
481,56
482,56
483,56
484,56
485,56
486,56
487,56
488,56
489,56
490,56
491,57
492,57
493,57
494,57
495,57
496,57
497,57
498,57
499,58
500,58
501,58
502,58
503,58
504,58
505,58
506,58
507,58
508,58
509,58
510,58
511,58
512,59
513,59
514,59
515,59
516,59
517,59
518,59
519,59
520,59
521,60
522,60
523,60
524,60
525,60
526,60
527,60
528,61
529,61
530,61
531,61
532,61
533,61
534,61
535,61
536,61
537,61
538,61
539,62
540,62
541,62
542,62
543,62
544,62
545,62
546,62
547,62
548,62
549,62
550,63
551,63
552,63
553,63
554,63
555,63
556,63
557,63
558,63
559,63
560,63
561,63
562,63
563,63
564,63
565,64
566,64
567,64
568,64
569,64
570,64
571,64
572,64
573,64
574,65
575,65
576,65
577,65
578,65
579,65
580,65
581,66
582,66
583,66
584,66
585,66
586,66
587,66
588,66
589,66
590,66
591,66
592,67
593,67
594,67
595,67
596,67
597,67
598,67
599,67
600,67
601,67
602,67
603,67
604,67
605,67
606,67
607,68
608,68
609,68
610,68
611,68
612,68
613,68
614,68
615,68
616,69
617,69
618,69
619,69
620,69
621,69
622,69
623,69
624,69
625,70
626,70
627,70
628,70
629,70
630,70
631,70
632,70
633,70
634,70
635,71
636,71
637,71
638,71
639,71
640,71
641,72
642,72
643,72
644,72
645,72
646,72
647,72
648,72
649,72
650,72
651,72
652,72
653,72
654,72
655,73
656,73
657,73
658,73
659,73
660,73
661,73
662,73
663,73
664,73
665,74
666,74
667,74
668,74
669,74
670,74
671,74
672,74
673,75
674,75
675,75
676,75
677,75
678,75
679,75
680,75
681,75
682,75
683,76
684,76
685,76
686,76
687,76
688,76
689,76
690,76
691,76
692,76
693,76
694,76
695,76
696,76
697,77
698,77
699,77
700,77
701,77
702,77
703,77
704,77
705,77
706,77
707,77
708,77
709,77
710,78
711,78
712,78
713,78
714,78
715,78
716,78
717,78
718,78
719,78
720,78
721,78
722,78
723,78
724,78
725,78
726,78
727,79
728,79
729,79
730,79
731,79
732,79
733,79
734,79
735,79
736,79
737,79
738,79
739,79
740,80
741,80
742,80
743,80
744,80
745,80
746,80
747,80
748,80
749,80
750,81
751,81
752,81
753,81
754,81
755,81
756,81
757,81
758,81
759,81
760,81
761,81
762,81
763,81
764,81
765,81
766,81
767,82
768,82
769,82
770,82
771,82
772,82
773,82
774,82
775,82
776,82
777,82
778,82
779,82
780,82
781,83
782,83
783,83
