id,name,type
20,almond extract,Baking
21,baking soda,Baking
22,corn starch,Baking
23,egg,"Milk, Eggs, Other Dairy"
24,flour,Baking
25,granulated sugar,Baking
26,imitation vanilla extract,Baking
27,salt,Spices and Seasonings
28,sprinkles,Baking
29,unsalted butter,"Milk, Eggs, Other Dairy"
30,dijon mustard,Condiments
31,fresh dill,Produce
32,garlic cloves,Produce
33,green onions,Produce
34,lime juice,Produce
35,mayonnaise,Condiments
36,pepper,Spices and Seasonings
37,red onion,Produce
38,red potatoes,Produce
39,asparagus,Produce
40,blueberries,Produce
41,cider vinegar,"Oil, Vinegar, Salad Dressing"
42,feta,Cheese
43,fresh basil,Produce
44,honey,"Nut butters, Jams, and Honey"
45,lemon juice,Produce
46,olive oil,"Oil, Vinegar, Salad Dressing"
47,pecans,Baking
48,red bell pepper,Produce
49,rice,Pasta and Rice
50,strawberries,Produce
51,almonds,Nuts
52,baby peas,Produce
53,canned butter beans,Canned and Jarred
54,canned tomatoes,Canned and Jarred
55,couscous,Ethnic Foods
56,cumin seeds,Spices and Seasonings
57,ground cinnamon,Spices and Seasonings
58,harissa,Ethnic Foods
59,lemon zest,Produce
60,non fat natural yogurt,"Milk, Eggs, Other Dairy"
61,onion,Produce
62,rapeseed oil,"Oil, Vinegar, Salad Dressing"
63,vegetable stock,Canned and Jarred
64,coconut butter,Health Foods
65,coconut oil,Baking
66,dark chocolate chips,Baking
67,liquid smoke,Spices and Seasonings
68,sunflower seed butter,"Nut butters, Jams, and Honey"
69,unsweetened cocoa powder,Baking
70,carrots,Produce
71,chili-garlic sauce,Ethnic Foods
72,cooked brown rice,Pasta and Rice
73,cucumbers,Produce
74,eggs,"Milk, Eggs, Other Dairy"
75,fresh ginger,Produce
76,garlic,Produce
77,kimchi,Ethnic Foods
78,low sodium soy sauce,Condiments
79,mung bean sprouts,Ethnic Foods
80,rice vinegar,Ethnic Foods
81,sesame oil,Ethnic Foods
82,sesame seeds,Spices and Seasonings
83,shiitake mushrooms,Produce
84,bbq sauce,Condiments
85,sweet potato,Produce
86,breadcrumbs,Bakery/Bread
87,carrot,Produce
88,corn syrup,Baking
89,currants,Dried Fruits
90,juice of lemon,Produce
