d,quantity,info
15,1.5 teaspoons,almond extract
16,0.75 teaspoon,baking soda
17,2.0 teaspoons,corn starch
18,1.0 servings,egg
19,1.5 cups,flour
20,0.75 cup,granulated sugar
21,1.5 teaspoons,imitation vanilla extract
22,1.0 pinch,salt
23,0.75 cup,sprinkles
24,0.5 cup,unsalted butter
25,0.25 cup,dijon mustard
26,3.0 tablespoons,fresh dill
27,2.0 servings,garlic cloves
28,2.0 servings,green onions
29,0.25 teaspoon,lime juice
30,1.0 cup,mayonnaise
31,0.5 teaspoon,pepper
32,0.5 cup,red onion
33,2.0 pounds,red potatoes
34,0.5 teaspoon,salt
35,0.5 pound,asparagus
36,1.0 cup,blueberries
37,1.0 tablespoon,cider vinegar
38,1.0 teaspoon,dijon mustard
39,0.25 cup,feta
40,0.25 cup,fresh basil
41,1.0 tablespoon,honey
42,2.0 tablespoons,lemon juice
43,0.25 cup,olive oil
44,0.5 cup,pecans
45,0.125 teaspoon,pepper
46,1.0 servings,red bell pepper
47,3.0 tablespoons,red onion
48,4.5 cups,rice
49,0.25 teaspoon,salt
50,1.5 cups,strawberries
51,40.0 g,almonds
52,350.0 g,baby peas
53,390.0 g,canned butter beans
54,400.0 g,canned tomatoes
55,175.0 g,couscous
56,1.0 tsp,cumin seeds
57,3.0 servings,garlic cloves
58,0.5 tsp,ground cinnamon
59,1.0 tbsp,harissa
60,2.0 strips,lemon zest
61,150.0 g,non fat natural yogurt
62,1.0 servings,onion
63,1.0 tbsp,rapeseed oil
64,200.0 ml,vegetable stock
65,0.25 cup,coconut butter
66,2.0 tablespoons,coconut oil
67,0.25 cup,dark chocolate chips
68,2.0 tablespoons,liquid smoke
69,0.25 cup,sunflower seed butter
70,1.0 tablespoons,unsweetened cocoa powder
71,4.0 servings,carrots
72,2.0 teaspoons,chili-garlic sauce
73,4.0 cups,cooked brown rice
74,4.0 servings,cucumbers
75,4.0 servings,eggs
76,1.0 teaspoon,fresh ginger
77,1.0 clove,garlic
78,2.0 servings,green onions
79,4.0 servings,kimchi
80,0.5 cup,low sodium soy sauce
81,4.0 servings,mung bean sprouts
82,1.0 tablespoon,rice vinegar
83,1.0 tablespoon,sesame oil
84,4.0 servings,sesame seeds
85,6.0 ounces,shiitake mushrooms
86,1.0 tablespoon,bbq sauce
87,1.0 servings,sweet potato
88,350.0 g,breadcrumbs
89,1.0 servings,carrot
90,100.0 g,corn syrup
91,450.0 g,currants
92,3.0 servings,eggs
93,2.0 servings,juice of lemon
94,350.0 g,light brown sugar
95,100.0 g,mixed peel
96,175.0 g,raisins
97,350.0 g,self-raising flour
98,440.0 ml,stout
99,350.0 g,suet
100,225.0 g,sultanas
101,0.75 cup,almond meal
102,1.0 teaspoon,baking powder
103,1.0 teaspoon,baking soda
104,2.0 servings,eggs
105,2.0 cups,flour
106,1.0 cup,granulated sugar
107,0.75 cup,lemon
108,2.0 cups,lemon curd
109,3.0 tablespoons,lemon zest
110,0.5 cup,light brown sugar
111,1.0 teaspoon,salt
112,1.0 cup,sour cream
113,6.0 tablespoons,unsalted butter
114,1.0 teaspoon,vanilla extract
115,1.0 bottle,champagne
116,8.0 servings,coarse salt
117,1.0 cup,cointreau
118,8.0 servings,lime
119,1.0 cup,lime juice
120,1.0 servings,lime zest
121,1.0 cup,silver tequila
122,8.0 servings,superfine sugar
123,0.5 teaspoon,celery seeds
124,1.0 tablespoon,dried onion
125,1.0 servings,egg
126,3.0 cups,flour
127,1.0 tablespoon,granulated sugar
128,2.0 packages,instant yeast
129,1.0 teaspoon,salt
130,1.0 cup,sharp cheddar cheese
131,2.0 tablespoons,shortening
132,0.5 cup,water
133,1.0 cup,whole milk
134,2.0 tsp,ancho chile powder
135,1.0 tsp,cumin
136,4.0 servings,kosher salt
137,1.0 tbsp,olive oil
138,1.0 tsp,sage
139,4.0 cups,squash
140,8.0 servings,black pepper
141,0.5 can,canned tomatoes
142,0.25 teaspoon,cayenne pepper
143,4.0 ounces,cream cheese
144,1.0 can,green chilies
145,1.0 cup,grits
146,8.0 ounces,monterey jack cheese
147,0.25 teaspoon,paprika
148,0.5 teaspoon,salt
149,4.0 cups,water
150,1.0 servings,whole egg
151,1.0 clove,garlic
152,1.0 servings,jalapeno
153,2.0 servings,juice of lime
154,3.0 servings,plum tomatoes
155,8.0 servings,sea-salt
156,1.0 servings,shallot
157,6.0 servings,tomatillos
158,2.0 tablespoons,all purpose flour
159,2.0 cups,beef broth
160,0.25 cup,corn meal
161,1.0 servings,egg
162,0.25 cup,fresh cilantro
163,1.0 servings,garlic clove
164,0.5 pound,ground beef
165,0.5 teaspoon,ground cumin
166,0.5 pound,ground pork
167,1.0 balls,meatballs
168,0.25 cup,onion
169,0.25 cup,red bell pepper
170,4.0 servings,salt and pepper
171,1.0 servings,scallion
172,4.0 servings,bbq sauce
173,1.5 cups,banana
174,0.25 cup,chia seeds
175,0.25 cup,maple syrup
176,1.0 cup,milk
177,0.666666666667 cup,strawberries
178,2.5 tablespoons,unsweetened cocoa powder
179,1.0 teaspoon,vanilla extract
180,1.0 servings,avocados
181,15.0 ounce,canned black beans
182,4.0 ounce,canned green chiles
183,3.0 tablespoons,cilantro
184,24.0 servings,kosher salt
185,1.0 servings,onions
186,4.0 servings,plantains
187,2.0 servings,poblano peppers
188,2.0 quarts,vegetable oil
189,8.0 servings,corn
190,1.0 cup,guacamole
191,2.0 cups,lettuce
192,2.0 cups,monterey jack cheese
193,2.0 cups,refried beans
194,1.0 cup,salsa
195,1.0 cup,sour cream
196,2.0 heads,broccoli
197,6.0 servings,cheddar cheese
198,2.0 cans,cream of mushroom soup
199,24.0 ounce,evaporated milk
200,1.0 can,milk
201,1.0 servings,onion
202,6.0 servings,salt and pepper
203,1.0 tsp,brown sugar
204,0.25 lb,cabbage
205,2.0 servings,carrots
206,2.0 servings,green onions
207,2.0 Tbsp,ketchup
208,1.0 servings,onion
209,1.0 Tbsp,sesame oil
210,6.0 oz,soba noodles
211,2.0 Tbsp,soy sauce
212,1.0 c,turkey
213,3.0 Tbsp,worcestershire sauce
214,1.5 teaspoons,baking powder
215,0.333333333333 cup,brown sugar
216,0.25 cup,chocolate chips
217,1.0 servings,egg
218,1.0 servings,egg whites
219,5.3 oz,nonfat greek yogurt
220,2.0 cups,old-fashioned oats
221,0.25 teaspoon,salt
222,0.75 cup,skim milk
223,3.0 tablespoons,unsweetened cocoa powder
224,0.5 teaspoon,vanilla extract
225,0.666666666667 cup,defrosted from
226,0.25 cup,basil leaves
227,28.0 ounce,canned tomatoes
228,4.0 cloves,garlic
229,0.5 cup,heavy cream
230,1.0 pound,italian sausage
231,6.0 servings,kosher salt
232,1.0 tablespoon,olive oil
233,0.75 cup,parmesan cheese
234,0.25 teaspoon,red pepper flakes
235,1.0 cup,shredded mozzarella cheese
236,12.0 ounces,ziti pasta
237,0.75 cup,almond meal
238,1.5 tsp,baking powder
239,1.0 tbsp,cinnamon
240,0.25 cup,coconut flour
241,5.0 tbsp,coconut oil
242,2.0 servings,eggs
243,1.0 cup,ground flax seed
244,15.0 drops,liquid stevia
245,0.25 tsp,sea salt
246,1.0 tsp,vanilla extract
247,1.0 tablespoon,dijon mustard
248,1.0 teaspoon,dried dill weed
249,1.0 servings,egg
250,1.0 tablespoon,fresh dill
251,2.0 tablespoons,fresh parsley
252,2.0 cloves,garlic
253,0.125 teaspoon,ground pepper
254,4.0 servings,hamburger buns
255,4.0 servings,kosher salt
256,1.0 tablespoon,lemon juice
257,4.0 servings,lettuce
258,2.0 tablespoons,mayonnaise
259,1.0 servings,onion
260,0.5 cup,panko bread crumbs
261,14.75 oz,salmon
262,0.5 cup,seasoned bread crumbs
263,2.0 tablespoons,sweet pickle relish
264,4.0 servings,vegetable oil
265,0.5 cup,regular
266,1.0 servings,bay leaf
267,2.0 tablespoons,butter
268,1.0 can,canned cannellini beans
269,1.0 can,canned tomatoes
270,5.0 cups,chicken broth
271,2.0 servings,garlic cloves
272,0.5 servings,napa cabbage
273,2.0 tablespoons,olive oil
274,2.0 sprigs,oregano
275,1.0 servings,potato
276,8.0 servings,salt and pepper
277,3.0 sprigs,thyme
278,1.0 can,tomato paste
279,0.5 servings,yellow onion
280,1.0 tsp,coconut oil
281,0.25 cup,dark chocolate chips
282,3.0 servings,egg whites
283,0.25 tsp,salt
284,1.0 cup,slivered almonds
285,0.25 cup,sugar
286,2.5 cups,sweetened shredded coconut
287,1.0 Handful,arugula leaves
288,1.0 slice,bread
289,1.0 serving,honey
290,1.0 serving,peanut butter
291,2.0 tablespoons,bacon grease
292,1.0 tablespoon,baking powder
293,12.0 ounce,beer
294,3.0 cups,flour
295,0.25 cup,granulated sugar
296,0.5 teaspoon,salt
297,1.0 cup,sharp cheddar cheese
298,6.0 slices,thick-cut bacon
299,4.0 tablespoons,unsalted butter
300,1.0 cup,blueberries
301,0.25 cup,cashews
302,1.0 cup,coconut cream
303,1.0 cup,extra-virgin coconut oil
304,0.25 cup,unsweetened shredded coconut
305,0.5 cup,green onions
306,24.0 servings,oil
