d,iid
15,20
16,21
17,22
18,23
19,24
20,25
21,26
22,27
23,28
24,29
25,30
26,31
27,32
28,33
29,34
30,35
31,36
32,37
33,38
34,27
35,39
36,40
37,41
38,30
39,42
40,43
41,44
42,45
43,46
44,47
45,36
46,48
47,37
48,49
49,27
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,32
58,57
59,58
60,59
61,60
62,61
63,62
64,63
65,64
66,65
67,66
68,67
69,68
70,69
71,70
72,71
73,72
74,73
75,74
76,75
77,76
78,33
79,77
80,78
81,79
82,80
83,81
84,82
85,83
86,84
87,85
88,86
89,87
90,88
91,89
92,74
93,90
94,91
95,92
96,93
97,94
98,95
99,96
100,97
101,98
102,99
103,21
104,74
105,24
106,25
107,100
108,101
109,59
110,91
111,27
112,102
113,29
114,103
115,104
116,105
117,106
118,107
119,34
120,108
121,109
122,110
123,111
124,112
125,23
126,24
127,25
128,113
129,27
130,114
131,115
132,116
133,117
134,118
135,119
136,120
137,46
138,121
139,122
140,123
141,54
142,124
143,125
144,126
145,127
146,128
147,129
148,27
149,116
150,130
151,76
152,131
153,132
154,133
155,134
156,135
157,136
158,137
159,138
160,139
161,23
162,140
163,141
164,142
165,143
166,144
167,145
168,61
169,48
170,146
171,147
172,84
173,148
174,149
175,150
176,151
177,50
178,69
179,103
180,152
181,153
182,154
183,155
184,120
185,156
186,157
187,158
188,159
189,160
190,161
191,162
192,128
193,163
194,164
195,102
196,165
197,166
198,167
199,168
200,151
201,61
202,146
203,169
204,170
205,70
206,33
207,171
208,61
209,81
210,172
211,173
212,174
213,175
214,99
215,169
216,176
217,23
218,177
219,178
220,179
221,27
222,180
223,69
224,103
225,181
226,182
227,54
228,76
229,183
230,184
231,120
232,46
233,185
234,186
235,187
236,188
237,98
238,99
239,189
240,190
241,65
242,74
243,191
244,192
245,193
246,103
247,30
248,194
249,23
250,31
251,195
252,76
253,196
254,197
255,120
256,45
257,162
258,35
259,61
260,198
261,199
262,200
263,201
264,159
265,202
266,203
267,204
268,205
269,54
270,206
271,32
272,207
273,46
274,208
275,209
276,146
277,210
278,211
279,212
280,65
281,66
282,177
283,27
284,213
285,214
286,215
287,216
288,217
289,44
290,218
291,219
292,99
293,220
294,24
295,25
296,27
297,114
298,221
299,29
300,40
301,222
302,223
303,224
304,225
305,33
306,226
307,227
308,228
309,229
310,230
311,165
312,169
313,54
314,231
315,42
316,76
317,46
318,61
319,232
320,27
321,233
322,234
323,211
324,235
325,236
326,169
327,237
328,238
329,239
330,240
331,241
332,30
333,150
334,242
335,46
336,243
337,244
338,99
339,245
340,246
341,189
342,23
343,24
344,247
345,27
346,214
347,159
348,248
349,206
350,155
351,75
352,76
353,91
354,249
355,250
356,46
357,61
358,251
359,252
360,27
361,253
362,34
363,27
364,50
365,214
366,254
367,255
368,116
369,256
370,76
371,257
372,146
373,81
374,82
375,173
376,214
377,258
378,99
379,21
380,204
381,245
382,23
383,24
384,25
385,183
386,45
387,59
388,259
389,27
390,50
391,260
392,103
393,84
394,123
395,261
396,262
397,46
398,27
399,165
400,263
401,264
402,265
403,266
404,76
405,58
406,120
407,267
408,36
409,27
410,137
411,99
412,268
413,25
414,151
415,269
416,270
417,27
418,29
419,271
420,272
421,138
422,273
423,274
424,275
425,70
426,276
427,277
428,278
429,196
430,279
431,27
432,173
433,212
434,21
435,204
436,176
437,23
438,280
439,24
440,192
441,27
442,69
443,103
444,281
445,223
446,282
447,283
448,284
449,150
450,193
451,285
452,103
453,123
454,286
455,87
456,276
457,287
458,76
459,288
460,61
461,129
462,209
463,27
464,114
465,102
466,289
467,290
468,99
469,169
470,291
471,292
472,74
473,24
474,57
475,293
476,47
477,27
478,214
479,103
480,116
481,294
482,123
483,131
484,162
485,46
486,156
487,295
488,102
489,296
490,297
491,298
492,299
493,300
494,125
495,119
496,61
497,48
498,301
499,230
500,138
501,302
502,54
503,231
504,76
505,142
506,46
507,61
508,208
509,49
510,303
511,175
512,39
513,278
514,304
515,305
516,306
517,307
518,199
519,146
520,308
521,20
522,24
523,25
524,309
525,27
526,29
527,103
528,54
529,300
530,119
531,310
532,74
533,264
534,76
535,311
536,312
537,61
538,313
539,99
540,204
541,74
542,24
543,59
544,314
545,315
546,316
547,27
548,214
549,271
550,317
551,230
552,318
553,319
554,320
555,264
556,321
557,322
558,323
559,76
560,100
561,324
562,325
563,146
564,326
565,317
566,204
567,76
568,127
569,327
570,61
571,328
572,329
573,116
574,330
575,217
576,87
577,331
578,162
579,297
580,332
581,333
582,334
583,24
584,335
585,336
586,324
587,146
588,114
589,337
590,29
591,117
592,21
593,338
594,339
595,65
596,340
597,341
598,23
599,342
600,120
601,151
602,343
603,214
604,344
605,29
606,103
607,169
608,292
609,276
610,300
611,345
612,171
613,346
614,61
615,347
616,317
617,204
618,348
619,349
620,350
621,146
622,351
623,117
624,212
625,352
626,99
627,204
628,74
629,24
630,47
631,27
632,214
633,271
634,103
635,353
636,292
637,354
638,74
639,355
640,116
641,356
642,23
643,44
644,120
645,179
646,357
647,358
648,359
649,344
650,29
651,116
652,290
653,360
654,361
655,204
656,276
657,206
658,24
659,195
660,247
661,362
662,151
663,61
664,239
665,317
666,363
667,345
668,364
669,61
670,365
671,366
672,367
673,368
674,369
675,370
676,189
677,371
678,372
679,373
680,288
681,270
682,374
683,375
684,376
685,377
686,76
687,378
688,150
689,27
690,81
691,82
692,173
693,379
694,380
695,381
696,116
697,382
698,169
699,204
700,206
701,24
702,383
703,323
704,32
705,384
706,36
707,27
708,385
709,175
710,386
711,86
712,204
713,87
714,318
715,348
716,74
717,24
718,195
719,387
720,120
721,388
722,61
723,389
724,390
725,210
726,159
727,123
728,391
729,57
730,392
731,143
732,120
733,34
734,108
735,288
736,393
737,394
738,29
739,395
740,396
741,397
742,54
743,276
744,206
745,278
746,398
747,399
748,76
749,61
750,400
751,153
752,401
753,402
754,119
755,140
756,403
757,76
758,120
759,46
760,357
761,37
762,404
763,405
764,406
765,116
766,281
767,407
768,75
769,78
770,408
771,409
772,186
773,410
774,147
775,81
776,82
777,82
778,411
779,412
780,413
781,153
782,300
783,414
784,415
785,416
786,417
787,164
788,114
789,365
790,217
791,23
792,151
793,214
794,418
795,419
796,30
797,195
798,76
799,45
800,46
801,185
802,48
803,382
804,203
805,420
806,421
807,70
808,422
809,32
810,61
811,423
812,382
813,424
814,169
815,292
816,24
817,150
818,47
819,425
820,27
821,214
822,317
823,426
824,427
825,166
826,300
827,428
828,140
829,429
830,33
831,430
832,161
833,431
834,34
835,36
836,36
837,164
838,146
839,114
840,406
841,432

